x,y
-0.001000,293.443144
0.001000,293.443144
864.000770,289.503021
1727.999000,290.015312
2591.999000,290.398018
3455.999000,290.553172
4319.999000,290.594717
4320.001000,290.594717
5184.001000,290.591265
6048.001000,290.569240
6912.001000,290.541350
7776.001000,290.512512
8640.001000,290.484255
9504.001000,290.456823
10368.001000,290.430063
11232.001000,290.403181
12096.001000,290.371075
12960.000845,290.354304
13823.999000,290.355709
14687.999000,290.362032
15551.999000,290.372144
16415.999000,290.383874
17279.999000,290.397071
18143.999000,290.411612
19007.999000,290.433851
19871.999000,290.464613
20735.999000,290.494703
21599.999000,290.517064
22463.999000,290.632108
23327.999000,290.778342
24191.999000,290.935970
25055.999000,291.112691
25919.999000,291.268058
26783.999000,291.397399
27647.999000,291.526098
28511.999000,291.656355
29375.999000,291.777173
30239.999000,291.884580
31103.999000,291.995683
31967.999000,292.126093
32831.999000,292.262460
33695.999000,292.378940
34559.999000,292.493037
35423.999000,292.626410
36287.999000,292.756973
37151.999000,292.871436
38015.999000,292.963325
38879.999000,293.013607
39743.999000,293.022497
39744.001000,293.022497
40608.001000,292.970931
41472.001000,292.927981
42336.001000,292.917839
43200.001000,292.909408
44064.001000,292.876599
44928.001000,292.845348
45792.001000,292.816480
46656.001000,292.767237
47519.999578,292.739805
48383.999000,292.807255
49247.999000,292.867251
50111.999000,292.939803
50975.999000,293.019564
51839.999000,293.105465
52703.999000,293.188189
53567.999000,293.266423
54431.999000,293.324587
55295.999000,293.350033
56159.999000,293.371784
57023.999000,293.390632
57887.999000,293.399949
57888.001000,293.399949
58752.001000,293.380795
59616.001000,293.361061
60480.001000,293.342488
61344.001000,293.323762
62208.001000,293.294008
63072.001000,293.262971
63936.001000,293.233034
64800.001000,293.204716
65664.001000,293.154678
66528.001000,293.096331
67392.001000,293.036610
68256.001000,292.974750
69120.000389,292.953305
69983.999000,292.962745
70847.999000,292.973223
71711.999000,292.982937
72575.999000,292.984617
72576.001000,292.984617
73440.001000,292.974506
74304.001000,292.961278
75168.001000,292.946951
76032.001000,292.927431
76896.001000,292.893461
77760.001000,292.858942
78624.001000,292.758408
79488.001000,292.671560
80352.000197,292.660532
81215.999000,292.667925
82079.999000,292.689156
82943.999000,292.712861
83807.999000,292.726883
84671.999000,292.737972
85535.999000,292.747319
86399.999000,292.754804
86400.001000,292.754804
